grid_label,grid_x,grid_y,mode_name,clause_sharing_mode,share_max_len,max_lits,start_time,end_time,status,log_file,latest_tar,afi_status,afi_id,agfi_id,afi_json
2x2,2,2,none,0,2,8192,2026-04-01T13:25:42+0000,2026-04-01T16:35:42+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260401_132542/build_2x2_none_20260401_132542.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_04_01-132542.Developer_CL.tar,submitted,afi-0620b908c628bb5ac,agfi-0557b672797cfa0e1,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260401_132542/afi_create_2x2_none_20260401_132542.json
3x3,3,3,none,0,2,8192,2026-04-01T16:35:47+0000,2026-04-01T16:57:47+0000,failed,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260401_132542/build_3x3_none_20260401_163547.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_04_01-132542.Developer_CL.tar,not_requested,,,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260401_132542/afi_create_3x3_none_20260401_163547.json
4x4,4,4,none,0,2,8192,2026-04-01T16:57:47+0000,2026-04-01T16:59:47+0000,failed,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260401_132542/build_4x4_none_20260401_165747.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_04_01-132542.Developer_CL.tar,not_requested,,,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260401_132542/afi_create_4x4_none_20260401_165747.json
