mode_name,clause_sharing_mode,share_max_len,start_time,end_time,status,log_file,latest_tar
none,0,2,2026-03-24T16:15:53+0000,2026-03-24T17:39:23+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/sharing_2x2_20260324_161553/build_none_20260324_161553.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_24-161553.Developer_CL.tar
2clz,1,2,2026-03-24T17:39:23+0000,2026-03-24T19:01:32+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/sharing_2x2_20260324_161553/build_2clz_20260324_173923.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_24-173923.Developer_CL.tar
3clz,2,3,2026-03-24T19:01:32+0000,2026-03-24T20:23:47+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/sharing_2x2_20260324_161553/build_3clz_20260324_190132.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_24-190133.Developer_CL.tar
4clz,2,4,2026-03-24T20:23:47+0000,2026-03-24T21:46:14+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/sharing_2x2_20260324_161553/build_4clz_20260324_202347.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_24-202347.Developer_CL.tar
