mode_name,clause_sharing_mode,share_max_len,start_time,end_time,status,log_file,latest_tar
none,0,2,2026-03-24T14:47:13+0000,2026-03-24T16:10:53+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/sharing_2x2_20260324_144713/build_none_20260324_144713.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_24-144713.Developer_CL.tar
2clz,1,2,2026-03-24T16:10:53+0000,2026-03-24T16:11:25+0000,failed,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/sharing_2x2_20260324_144713/build_2clz_20260324_161053.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_24-144713.Developer_CL.tar
