grid_label,grid_x,grid_y,mode_name,clause_sharing_mode,share_max_len,max_lits,start_time,end_time,status,log_file,latest_tar
1x1,1,1,none,0,2,16384,2026-03-26T04:24:15+0000,2026-03-26T05:52:16+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260326_042415/build_1x1_none_20260326_042415.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_26-042416.Developer_CL.tar
2x2,2,2,none,0,2,16384,2026-03-26T05:52:16+0000,2026-03-26T06:08:16+0000,failed,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260326_042415/build_2x2_none_20260326_055216.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_26-042416.Developer_CL.tar
