grid_label,grid_x,grid_y,mode_name,clause_sharing_mode,share_max_len,max_lits,start_time,end_time,status,log_file,latest_tar,afi_status,afi_id,agfi_id,afi_json
2x2,2,2,2clz,1,2,8192,2026-03-31T14:41:38+0000,2026-03-31T17:53:38+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/build_2x2_2clz_20260331_144138.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_31-144138.Developer_CL.tar,submitted,afi-07e84cf377a21810e,agfi-0e32325155d52e9a2,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/afi_create_2x2_2clz_20260331_144138.json
3x3,3,3,2clz,1,2,8192,2026-03-31T17:53:43+0000,2026-04-01T00:43:44+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/build_3x3_2clz_20260331_175343.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_03_31-175343.Developer_CL.tar,submitted,afi-0321c2767044f669e,agfi-019b6ef57d1bb5553,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/afi_create_3x3_2clz_20260331_175343.json
2x2,2,2,3clz,2,3,8192,2026-04-01T00:43:49+0000,2026-04-01T03:51:50+0000,ok,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/build_2x2_3clz_20260401_004349.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_04_01-004349.Developer_CL.tar,submitted,afi-0d0c6789a8312fe2e,agfi-0a0bef585e35a4855,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/afi_create_2x2_3clz_20260401_004349.json
3x3,3,3,3clz,2,3,8192,2026-04-01T03:51:53+0000,2026-04-01T07:05:53+0000,failed,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/build_3x3_3clz_20260401_035153.log,/home/ubuntu/src/project_data/SatSwarmV2/src/aws-fpga/hdk/cl/examples/cl_satswarm/build/checkpoints/2026_04_01-004349.Developer_CL.tar,not_requested,,,/home/ubuntu/src/project_data/SatSwarmV2/deploy/logs/grid_sharing_20260331_144138/afi_create_3x3_3clz_20260401_035153.json
